host,Datetime,CPU utilization (%),Memory used  (%)
TWKHH01OPTIPW6V,2021/7/22 18:38,75.6556,76.9935
TWKHH01OPTIPW6V,2021/7/22 18:35,76.0045,76.978
TWKHH01OPTIPW6V,2021/7/22 18:32,75.6778,76.8181
TWKHH01OPTIPW6V,2021/7/22 18:29,76.2997,75.8398
TWKHH01OPTIPW6V,2021/7/22 18:26,75.4319,76.4354
TWKHH01OPTIPW6V,2021/7/22 18:23,75.9938,76.1834
TWKHH01OPTIPW6V,2021/7/22 18:20,75.9082,75.9747
TWKHH01OPTIPW6V,2021/7/22 18:17,82.8157,79.8877
TWKHH01OPTIPW6V,2021/7/22 18:14,77.3084,76.8462
TWKHH01OPTIPW6V,2021/7/22 18:11,77.062,74.2168
TWKHH01OPTIPW6V,2021/7/22 18:08,75.4701,78.5827
TWKHH01OPTIPW6V,2021/7/22 18:05,88.8817,76.3568
TWKHH01OPTIPW6V,2021/7/22 18:02,74.5841,76.0633
TWKHH01OPTIPW6V,2021/7/22 17:59,76.0435,78.0764
TWKHH01OPTIPW6V,2021/7/22 17:56,83.9161,82.7733
TWKHH01OPTIPW6V,2021/7/22 17:53,79.8849,79.7187
TWKHH01OPTIPW6V,2021/7/22 17:50,90.9248,74.9542
TWKHH01OPTIPW6V,2021/7/22 17:47,75.6074,74.925
TWKHH01OPTIPW6V,2021/7/22 17:44,76.8199,75.597
TWKHH01OPTIPW6V,2021/7/22 17:41,74.7766,75.0097
TWKHH01OPTIPW6V,2021/7/22 17:38,75.1917,74.679
TWKHH01OPTIPW6V,2021/7/22 17:35,76.69,74.3432
TWKHH01OPTIPW6V,2021/7/22 17:32,76.7332,74.2964
TWKHH01OPTIPW6V,2021/7/22 17:29,75.2231,73.9219
TWKHH01OPTIPW6V,2021/7/22 17:26,75.0866,72.8392
TWKHH01OPTIPW6V,2021/7/22 17:23,75.4325,72.5372
TWKHH01OPTIPW6V,2021/7/22 17:20,76.1101,74.9349
TWKHH01OPTIPW6V,2021/7/22 17:17,75.0168,74.6437
TWKHH01OPTIPW6V,2021/7/22 17:14,76.71,74.296
TWKHH01OPTIPW6V,2021/7/22 17:11,75.9103,74.0498
