,r value,p-value,N
Disk (0 C:) - Current Disk Queue Length & Label,0.9251,0,2162
Memory used  (%) & CPU utilization (%),0.3755,0,2162
CPU utilization (%) & Disk (0 C:) - Current Disk Queue Length,0.0683,0.0015,2162
CPU utilization (%) & Label,0.0512,0.0173,2162
CPU utilization (%) & Disk (1 D:) - Current Disk Queue Length,0.0234,0.276,2162
Memory used  (%) & Label,0.0098,0.6498,2162
Disk (1 D:) - Current Disk Queue Length & Label,-0.0016,0.9416,2162
Disk (0 C:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length,-0.0029,0.8927,2162
Memory used  (%) & Disk (1 D:) - Current Disk Queue Length,-0.0066,0.7602,2162
Memory used  (%) & Disk (0 C:) - Current Disk Queue Length,-0.0084,0.6977,2162
