,r value,p-value,N
Memory used  (%) & CPU utilization (%),0.4417,0,2162
Disk (0 C:) - Current Disk Queue Length & Label,0.2762,0,2162
CPU utilization (%) & Label,0.0469,0.0292,2162
CPU utilization (%) & Disk (0 C:) - Current Disk Queue Length,0.0409,0.057,2162
CPU utilization (%) & Disk (1 D:) - Current Disk Queue Length,0.0163,0.4474,2162
Memory used  (%) & Label,0.0148,0.4909,2162
Memory used  (%) & Disk (1 D:) - Current Disk Queue Length,-0.0011,0.9603,2162
Disk (1 D:) - Current Disk Queue Length & Label,-0.0016,0.9405,2162
Disk (0 C:) - Current Disk Queue Length & Disk (1 D:) - Current Disk Queue Length,-0.0059,0.7836,2162
Memory used  (%) & Disk (0 C:) - Current Disk Queue Length,-0.0647,0.0026,2162
